,COST
% Below High,0.1284
% Held by Institutions,0.657
52-Wk Range,['406.51 - 612.27']
Annual Dividend $,3.6
Annual Dividend %,0.0067
Ask,534.0
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,0.7
Bid,533.06
Bid Size,300.0
Closing Price,533.66
Day Change $,-0.83
Day Change %,-0.0016
Day High,535.86
Day Low,533.07
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",13.14
Ex-dividend,2022-10-27 00:00:00
Ex-dividend Date,10/27/22
Historical Volatility,0.319
Last (size),2.0
Last (time),12:59p ET 11/25/22
Market Cap,236.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",40.61
Prev Close,534.49
Shares Outstanding,442.6M
Short Interest,0.0105
Today's Open,534.16
Volume,744222.0
Volume 10-day Avg,1840573.0
Volume Past Day,(Light)
