,RLI
% Below High,0.0116
% Held by Institutions,0.8115000000000001
52-Wk Range,['96.22 - 134.81']
Annual Dividend $,1.04
Annual Dividend %,0.0078000000000000005
Ask,133.24
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.5
Bid,133.08
Bid Size,200.0
Day Change $,-0.485
Day Change %,-0.0036
Day High,133.95
Day Low,133.06
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",12.71
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.259
Last (size),100.0
Last (time),12:52p ET 11/28/22
Market Cap,6.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.52
Prev Close,133.72
Price,133.24
Shares Outstanding,45.4M
Short Interest,0.024700000000000003
Today's Open,133.34
Volume Past Day,(Light)
