,PAR
Price/Earnings (TTM),
Price/Sales (TTM),1.91654
Price/Book (MRQ),1.69931
Price/Cash Flow (TTM),
5yr Low,8.0
5yr High,90.35
5yr Avg Return,0.37235000000000007
EPS Growth 5yr,
Revenue Growth 5yr,0.042568999999999996
Dividend Growth 5yr,
Short Int Current Month,4674094.0
Short Int Prev Month,4734208.0
Short Int Pct of Float,0.180348
Days to Cover,9.86175
Float,25.91004
Shares Outstanding,27.28978
Institutions Holding Shares,185.0
% Held by Institutions,1.0703449999999999
FCF Growth 5yr,0.005070718862099717
