,PAR
% Above Low,0.1655
% Held by Institutions,1.0703
52-Wk Range,['20.37 - 59.42']
Annual Dividend $,
Annual Dividend %,
Ask,23.88
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.8
Bid,23.73
Bid Size,100.0
Day Change $,-0.1192
Day Change %,-0.005
Day High,23.83
Day Low,23.5
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.02
Ex-dividend Date,No dividend
Historical Volatility,0.624
Last (size),967.0
Last (time),9:59a ET 11/28/22
Market Cap,647.9M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,23.86
Price,23.74
Shares Outstanding,27.3M
Short Interest,0.18030000000000002
Today's Open,23.53
Volume Past Day,(Light)
