,PAR
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.08053691275167796
Growth 1yr High Est,0.03597122302158273
Growth 1yr Consensus Est,0.058254067886630345
Growth 2yr Low Est,-0.0901663262328567
Growth 2yr High Est,-0.29798661071143084
Growth 2yr Consensus Est,-0.19407646847214377
Growth 5yr Low Est,-0.0901663262328567
Growth 5yr High Est,-0.29798661071143084
Growth 5yr Consensus Est,-0.19407646847214377
Growth 5yr Actual/Est,0.1008461823083098
Growth 3yr Historic,0.18619791666666666
