,WGO
Next Earnings Announcement,2022-12-14 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.5419847328244275
Growth 1yr High Est,-0.36702508960573477
Growth 1yr Consensus Est,-0.45450491121508113
Growth 2yr Low Est,-0.22849236641221377
Growth 2yr High Est,-0.1908738132060384
Growth 2yr Consensus Est,-0.2096830898091261
Growth 5yr Low Est,-0.22849236641221377
Growth 5yr High Est,-0.1908738132060384
Growth 5yr Consensus Est,-0.2096830898091261
Growth 5yr Actual/Est,0.6279062605408149
Growth 3yr Historic,0.7322895416836666
