,WGO
% Above Low,0.3714
% Held by Institutions,1.0197
52-Wk Range,['43.05 - 78.88']
Annual Dividend $,1.08
Annual Dividend %,0.0183
Ask,63.0
Ask Size,3000.0
B/A Ratio,0.03333333333333333
B/A Size,100x3000
Beta,1.6
Bid,50.98
Bid Size,100.0
Closing Price,59.04
Day Change $,-0.05
Day Change %,-0.0008
Day High,59.26
Day Low,58.39
Dividend Pay Date,2022-09-28 00:00:00
"EPS (TTM, GAAP)",11.8
Ex-dividend,2022-09-13 00:00:00
Ex-dividend Date,09/13/22
Historical Volatility,0.511
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,1.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.01
Prev Close,59.09
Shares Outstanding,30.5M
Short Interest,0.2003
Today's Open,58.66
Volume,387455.0
Volume 10-day Avg,446785.0
Volume Past Day,(Below Average)
