,AI
Price/Earnings (TTM),
Price/Sales (TTM),5.14924
Price/Book (MRQ),1.39555
Price/Cash Flow (TTM),
5yr Low,11.29
5yr High,183.9
5yr Avg Return,-0.3246
Short Int Current Month,9354689.0
Short Int Prev Month,10446822.0
Short Int Pct of Float,0.1030211
Days to Cover,6.66315
Float,90.86507
Shares Outstanding,108.4815
Institutions Holding Shares,286.0
% Held by Institutions,0.42682499999999995
FCF Growth 5yr,0.8782375618808015
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
