,STNE
Price/Earnings (TTM),
Price/Sales (TTM),1.73109
Price/Book (MRQ),1.3758
Price/Cash Flow (TTM),
5yr Low,6.81
5yr High,95.12
5yr Avg Return,0.12677999999999998
EPS Growth 5yr,
Revenue Growth 5yr,0.6936235000000001
Dividend Growth 5yr,
Short Int Current Month,12365616.0
Short Int Prev Month,16020915.0
Short Int Pct of Float,0.0506768
Days to Cover,1.95207
Float,247.0833
Shares Outstanding,312.2975
Institutions Holding Shares,338.0
% Held by Institutions,0.666665
FCF Growth 5yr,-0.04145536950808182
