,STNE
Next Earnings Announcement,2023-03-16 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-2.1016949152542375
Growth 1yr High Est,-0.5
Growth 1yr Consensus Est,-1.3008474576271187
Growth 2yr Low Est,-1.866232073011734
Growth 2yr High Est,0.3088235294117645
Growth 2yr Consensus Est,-0.7787042717999848
Growth 5yr Low Est,-0.9753695576326277
Growth 5yr High Est,0.1223604826546002
Growth 5yr Consensus Est,-0.4265045374890137
Growth 5yr Actual/Est,0.49950049950049946
Growth 3yr Historic,-0.23896103896103896
