,STNE
% Above Low,0.5451
% Held by Institutions,0.6667000000000001
52-Wk Range,['6.81 - 19.66']
Annual Dividend $,
Annual Dividend %,
Ask,10.53
Ask Size,2300.0
B/A Ratio,2.347826086956522
B/A Size,5400x2300
Beta,2.1
Bid,10.52
Bid Size,5400.0
Day Change $,0.215
Day Change %,0.0209
Day High,11.05
Day Low,10.5
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.84
Ex-dividend Date,No dividend
Historical Volatility,0.981
Last (size),100.0
Last (time),3:31p ET 11/28/22
Market Cap,3.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,10.31
Price,10.53
Shares Outstanding,312.6M
Short Interest,0.0507
Today's Open,10.77
Volume Past Day,(Light)
