,BL
% Above Low,0.2945
% Held by Institutions,0.9667
52-Wk Range,['48.73 - 113.39']
Annual Dividend $,
Annual Dividend %,
Ask,63.51
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,62.65
Bid Size,100.0
Closing Price,63.08
Day Change $,-0.06
Day Change %,-0.001
Day High,63.84
Day Low,61.97
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.31
Ex-dividend Date,No dividend
Historical Volatility,0.593
Last (size),292.0
Last (time),12:59p ET 11/25/22
Market Cap,3.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,63.14
Shares Outstanding,59.8M
Short Interest,0.08310000000000001
Today's Open,62.94
Volume,102464.0
Volume 10-day Avg,412003.0
Volume Past Day,(Light)
