,PAYC
% Above Low,0.27640000000000003
% Held by Institutions,0.7993000000000001
52-Wk Range,['255.82 - 450.30']
Annual Dividend $,
Annual Dividend %,
Ask,326.89
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,326.04
Bid Size,200.0
Day Change $,-0.58
Day Change %,-0.0018
Day High,331.33
Day Low,323.66
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.3
Ex-dividend Date,No dividend
Historical Volatility,0.532
Last (size),1.0
Last (time),10:07a ET 11/28/22
Market Cap,19.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",76.03
Prev Close,327.1
Price,326.52
Shares Outstanding,60.0M
Short Interest,0.0248
Today's Open,323.84
Volume Past Day,(Light)
