,PAYC
Price/Earnings (TTM),76.03122
Price/Sales (TTM),14.67756
Price/Book (MRQ),17.58514
Price/Cash Flow (TTM),56.1652
5yr Low,75.39
5yr High,558.97
5yr Avg Return,0.34745
EPS Growth 5yr,0.23227499999999998
Revenue Growth 5yr,0.2624588
Dividend Growth 5yr,
Short Int Current Month,1207600.0
Short Int Prev Month,1255721.0
Short Int Pct of Float,0.0248082
Days to Cover,2.02981
Float,48.67638
Shares Outstanding,57.86646
Institutions Holding Shares,917.0
% Held by Institutions,0.7992619999999999
FCF Growth 5yr,0.027520949235818753
