,BMRN
% Below High,0.028300000000000002
% Held by Institutions,0.9889
52-Wk Range,['70.73 - 99.74']
Annual Dividend $,
Annual Dividend %,
Ask,98.5
Ask Size,600.0
B/A Ratio,1.6666666666666667
B/A Size,1000x600
Beta,0.4
Bid,90.0
Bid Size,1000.0
Closing Price,96.92
Day Change $,-0.87
Day Change %,-0.0089
Day High,98.43
Day Low,96.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.39
Ex-dividend Date,No dividend
Historical Volatility,0.349
Last (size),13.0
Last (time),1:00p ET 11/25/22
Market Cap,18.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",245.49
Prev Close,97.79
Shares Outstanding,185.8M
Short Interest,0.053200000000000004
Today's Open,97.46
Volume,727779.0
Volume 10-day Avg,1514489.0
Volume Past Day,(Light)
