,HAS
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.2857142857142858
Growth 1yr High Est,0.3042328042328042
Growth 1yr Consensus Est,0.294973544973545
Growth 2yr Low Est,0.11285714285714293
Growth 2yr High Est,0.2241245157066658
Growth 2yr Consensus Est,0.16849082928190437
Growth 5yr Low Est,0.07523809523809528
Growth 5yr High Est,0.14941634380444388
Growth 5yr Consensus Est,0.11232721952126958
Growth 5yr Actual/Est,0.08257142097179829
Growth 3yr Historic,0.07876559714795012
