,HAS
Price/Earnings (TTM),20.81092
Price/Sales (TTM),1.38524
Price/Book (MRQ),2.88189
Price/Cash Flow (TTM),12.88591
5yr Low,41.33
5yr High,126.87
5yr Avg Return,-0.041100000000000005
EPS Growth 5yr,-0.04876490000000001
Revenue Growth 5yr,0.0504485
Dividend Growth 5yr,0.0644939
Short Int Current Month,5691468.0
Short Int Prev Month,5411607.0
Short Int Pct of Float,0.044685699999999995
Days to Cover,3.18339
Float,127.428
Shares Outstanding,138.1137
Institutions Holding Shares,896.0
% Held by Institutions,0.8394710000000001
FCF Growth 5yr,-0.13867006381122896
