,HAS
% Above Low,0.126
% Held by Institutions,0.8395
52-Wk Range,['55.15 - 105.73']
Annual Dividend $,2.8
Annual Dividend %,0.0451
Ask,62.3
Ask Size,600.0
B/A Ratio,0.16666666666666666
B/A Size,100x600
Beta,0.8
Bid,61.02
Bid Size,100.0
Closing Price,62.1
Day Change $,-0.06
Day Change %,-0.001
Day High,62.72
Day Low,62.08
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",2.98
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.33
Last (size),51.0
Last (time),1:00p ET 11/25/22
Market Cap,8.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",20.81
Prev Close,62.16
Shares Outstanding,138.1M
Short Interest,0.0447
Today's Open,62.17
Volume,509859.0
Volume 10-day Avg,1851273.0
Volume Past Day,(Light)
