,ITOS
% Above Low,0.2295
% Held by Institutions,1.0353
52-Wk Range,['16.21 - 52.43']
Annual Dividend $,
Annual Dividend %,
Ask,31.64
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,
Bid,17.5
Bid Size,100.0
Closing Price,19.93
Day Change $,-0.23
Day Change %,-0.011399999999999999
Day High,20.17
Day Low,19.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.8
Ex-dividend Date,No dividend
Historical Volatility,0.7090000000000001
Last (size),11.0
Last (time),1:00p ET 11/25/22
Market Cap,709.0M
"P/E Ratio (TTM, GAAP)",2.93
Prev Close,20.16
Shares Outstanding,35.6M
Short Interest,0.0527
Today's Open,20.17
Volume,70000.0
Volume 10-day Avg,293218.0
Volume Past Day,(Light)
