,ITOS
Price/Earnings (TTM),2.92892
Price/Sales (TTM),1.56092
Price/Book (MRQ),1.11797
Price/Cash Flow (TTM),2.70796
5yr Low,16.21
5yr High,52.43
5yr Avg Return,0.022766666666666685
Short Int Current Month,1870176.0
Short Int Prev Month,2019463.0
Short Int Pct of Float,0.052709400000000003
Days to Cover,7.37509
Float,35.48086
Shares Outstanding,35.57532
Institutions Holding Shares,223.0
% Held by Institutions,1.035253
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
