,CELH
% Below High,0.0757
% Held by Institutions,0.5518
52-Wk Range,['38.31 - 118.19']
Annual Dividend $,
Annual Dividend %,
Ask,109.41
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.9
Bid,108.0
Bid Size,100.0
Closing Price,109.24
Day Change $,5.32
Day Change %,0.0512
Day High,110.54
Day Low,103.53
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.3
Ex-dividend Date,No dividend
Historical Volatility,0.8570000000000001
Last (size),10.0
Last (time),12:59p ET 11/25/22
Market Cap,8.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,103.92
Shares Outstanding,76.2M
Short Interest,0.20329999999999998
Today's Open,103.75
Volume,1144553.0
Volume 10-day Avg,1495472.0
Volume Past Day,(Light)
