,CELH
Price/Earnings (TTM),
Price/Sales (TTM),14.35922
Price/Book (MRQ),140.0501
Price/Cash Flow (TTM),
5yr Low,3.05
5yr High,118.19
5yr Avg Return,1.7304833333333332
EPS Growth 5yr,
Revenue Growth 5yr,0.6905296
Dividend Growth 5yr,
Short Int Current Month,8897017.0
Short Int Prev Month,8024589.0
Short Int Pct of Float,0.20330459999999997
Days to Cover,6.4576
Float,43.80942
Shares Outstanding,76.2252
Institutions Holding Shares,371.0
% Held by Institutions,0.551813
FCF Growth 5yr,2.04
