,TFX
% Above Low,0.2291
% Held by Institutions,0.9545999999999999
52-Wk Range,['182.65 - 356.72']
Annual Dividend $,1.36
Annual Dividend %,0.006
Ask,357.82
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,138.76
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,224.49
Day Change $,-1.05
Day Change %,-0.004699999999999999
Day High,226.6
Day Low,221.69
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",8.71
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.35600000000000004
Last (size),447.0
Last (time),4:10p ET 11/28/22
Last Trade,224.49
Market Cap,10.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",25.91
Prev Close,225.54
Shares Outstanding,46.9M
Short Interest,0.0298
Today's Open,223.15
Volume,425275.0
Volume 10-day Avg,361531.0
Volume Past Day,(Above Average)
