,TFX
Price/Earnings (TTM),25.90806
Price/Sales (TTM),3.78513
Price/Book (MRQ),2.71604
Price/Cash Flow (TTM),16.48042
5yr Low,182.65
5yr High,449.38
5yr Avg Return,-0.0005666666666666783
EPS Growth 5yr,0.1549192
Revenue Growth 5yr,0.0850534
Dividend Growth 5yr,0.0
Short Int Current Month,1392754.0
Short Int Prev Month,1298385.0
Short Int Pct of Float,0.0297538
Days to Cover,3.76843
Float,46.8105
Shares Outstanding,46.90644
Institutions Holding Shares,716.0
% Held by Institutions,0.954576
FCF Growth 5yr,0.41392384242125174
