,CVLG
% Below High,0.05
% Held by Institutions,0.6878
52-Wk Range,['17.23 - 40.37']
Annual Dividend $,0.32
Annual Dividend %,0.0083
Ask,38.57
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,27.28
Bid Size,200.0
Closing Price,38.35
Day Change $,-0.01
Day Change %,-0.0003
Day High,38.59
Day Low,38.15
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",7.28
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.515
Last (size),5.0
Last (time),12:59p ET 11/25/22
Market Cap,518.2M
"P/E Ratio (TTM, GAAP)",5.27
Prev Close,38.36
Shares Outstanding,13.5M
Short Interest,0.0708
Today's Open,38.15
Volume,29881.0
Volume 10-day Avg,99522.0
Volume Past Day,(Light)
