,IBTX
% Above Low,0.0993
% Held by Institutions,0.7734000000000001
52-Wk Range,['60.17 - 79.66']
Annual Dividend $,1.52
Annual Dividend %,0.023
Ask,66.62
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,65.66
Bid Size,100.0
Closing Price,66.14
Day Change $,0.73
Day Change %,0.011200000000000002
Day High,66.4
Day Low,65.37
Dividend Pay Date,2022-11-17 00:00:00
"EPS (TTM, GAAP)",4.97
Ex-dividend,2022-11-02 00:00:00
Ex-dividend Date,11/02/22
Historical Volatility,0.28
Last (size),17.0
Last (time),1:00p ET 11/25/22
Market Cap,2.7B
"P/E Ratio (TTM, GAAP)",13.31
Prev Close,65.41
Shares Outstanding,41.2M
Short Interest,0.0353
Today's Open,65.37
Volume,30303.0
Volume 10-day Avg,114843.0
Volume Past Day,(Light)
