,IBTX
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.017341040462427904
Growth 1yr High Est,-0.01904761904761898
Growth 1yr Consensus Est,-0.018194329755023442
Growth 2yr Low Est,-0.0037685594469001327
Growth 2yr High Est,0.02445677300046234
Growth 2yr Consensus Est,0.010344106776781103
Growth 5yr Low Est,0.033204644510211045
Growth 5yr High Est,0.0445150517119291
Growth 5yr Consensus Est,0.03885984811107007
Growth 5yr Actual/Est,0.04358748719660102
Growth 3yr Historic,0.04009360523882749
