,IBTX
Price/Earnings (TTM),13.30878
Price/Sales (TTM),4.50816
Price/Book (MRQ),1.15644
Price/Cash Flow (TTM),11.5437
5yr Low,20.35
5yr High,80.71
5yr Avg Return,0.0208
EPS Growth 5yr,0.125944
Revenue Growth 5yr,0.22674209999999997
Dividend Growth 5yr,0.3116531
Short Int Current Month,1247675.0
Short Int Prev Month,1438009.0
Short Int Pct of Float,0.0353044
Days to Cover,10.64351
Float,35.33864
Shares Outstanding,41.19621
Institutions Holding Shares,275.0
% Held by Institutions,0.773391
FCF Growth 5yr,7.266199208917655
