,HCAT
% Above Low,0.5281
% Held by Institutions,0.9018
52-Wk Range,['6.40 - 44.53']
Annual Dividend $,
Annual Dividend %,
Ask,9.77
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,8.42
Bid Size,100.0
Closing Price,9.78
Day Change $,-0.2
Day Change %,-0.02
Day High,10.03
Day Low,9.54
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.83
Ex-dividend Date,No dividend
Historical Volatility,0.873
Last (size),31.0
Last (time),1:00p ET 11/25/22
Market Cap,535.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,9.98
Shares Outstanding,54.8M
Short Interest,0.0405
Today's Open,9.95
Volume,258770.0
Volume 10-day Avg,1085963.0
Volume Past Day,(Light)
