,HCAT
Price/Earnings (TTM),
Price/Sales (TTM),1.97014
Price/Book (MRQ),1.20512
Price/Cash Flow (TTM),
5yr Low,6.4
5yr High,59.5
5yr Avg Return,-0.16870000000000002
Short Int Current Month,2144038.0
Short Int Prev Month,2460531.0
Short Int Pct of Float,0.0404638
Days to Cover,1.13227
Float,53.02009
Shares Outstanding,54.75104
Institutions Holding Shares,238.0
% Held by Institutions,0.9017829999999999
FCF Growth 5yr,1.6432345103973438
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
