,CHUY
Price/Earnings (TTM),24.89332
Price/Sales (TTM),1.36274
Price/Book (MRQ),2.32285
Price/Cash Flow (TTM),12.75318
5yr Low,7.28
5yr High,49.99
5yr Avg Return,0.08520000000000001
EPS Growth 5yr,0.0803645
Revenue Growth 5yr,0.036996799999999996
Dividend Growth 5yr,
Short Int Current Month,954438.0
Short Int Prev Month,954879.0
Short Int Pct of Float,0.0537153
Days to Cover,9.78339
Float,17.76176
Shares Outstanding,17.99629
Institutions Holding Shares,190.0
% Held by Institutions,1.011099
FCF Growth 5yr,0.3468007336448941
