,CHUY
% Below High,0.0889
% Held by Institutions,1.0110999999999999
52-Wk Range,['18.64 - 34.64']
Annual Dividend $,
Annual Dividend %,
Ask,32.8
Ask Size,600.0
B/A Ratio,0.8333333333333334
B/A Size,500x600
Beta,1.6
Bid,27.0
Bid Size,500.0
Closing Price,31.56
Day Change $,-0.24
Day Change %,-0.0075
Day High,31.84
Day Low,31.5
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.27
Ex-dividend Date,No dividend
Historical Volatility,0.49700000000000005
Last (size),61.0
Last (time),1:00p ET 11/25/22
Market Cap,568.0M
"P/E Ratio (TTM, GAAP)",24.89
Prev Close,31.8
Shares Outstanding,18.0M
Short Interest,0.0537
Today's Open,31.67
Volume,31568.0
Volume 10-day Avg,89621.0
Volume Past Day,(Light)
