,CHUY
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.27840909090909094
Growth 1yr High Est,-0.27956989247311825
Growth 1yr Consensus Est,-0.2789894916911046
Growth 2yr Low Est,-0.11164549033643517
Growth 2yr High Est,-0.039038677579842695
Growth 2yr Consensus Est,-0.07534208395813893
Growth 5yr Low Est,0.1386216992762269
Growth 5yr High Est,0.19087670081403907
Growth 5yr Consensus Est,0.16474920004513297
Growth 5yr Actual/Est,0.21714997964997962
Growth 3yr Historic,0.26442307692307687
