,MAT
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.16417910447761197
Growth 2yr High Est,0.2534246575342467
Growth 2yr Consensus Est,0.20880188100592934
Growth 5yr Low Est,0.16417910447761197
Growth 5yr High Est,0.2534246575342467
Growth 5yr Consensus Est,0.20880188100592934
Growth 5yr Actual/Est,-0.2753459503459504
Growth 3yr Historic,-0.3481481481481482
