,MAT
Price/Earnings (TTM),10.77659
Price/Sales (TTM),1.09404
Price/Book (MRQ),3.24055
Price/Cash Flow (TTM),8.30017
5yr Low,6.53
5yr High,26.99
5yr Avg Return,0.033883333333333335
EPS Growth 5yr,0.2269538
Revenue Growth 5yr,0.00016830000000000003
Dividend Growth 5yr,
Short Int Current Month,26867761.0
Short Int Prev Month,22950069.0
Short Int Pct of Float,0.0762279
Days to Cover,5.21047
Float,352.6713
Shares Outstanding,354.4016
Institutions Holding Shares,475.0
% Held by Institutions,0.981767
FCF Growth 5yr,0.019565630643474902
