,MAT
% Above Low,0.08960000000000001
% Held by Institutions,0.9818000000000001
52-Wk Range,['16.51 - 26.99']
Annual Dividend $,
Annual Dividend %,
Ask,18.6
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,16.51
Bid Size,100.0
Closing Price,17.99
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.67
Ex-dividend Date,No dividend
Historical Volatility,0.408
Last (size),88.0
Last (time),1:00p ET 11/25/22
Market Cap,6.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",10.78
Prev Close,17.99
Shares Outstanding,354.4M
Short Interest,0.0762
Today's Open,
Volume,1102373.0
Volume 10-day Avg,5317928.0
Volume Past Day,(Light)
