,STAA
% Above Low,0.1923
% Held by Institutions,0.981
52-Wk Range,['49.03 - 112.27']
Annual Dividend $,
Annual Dividend %,
Ask,58.48
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.0
Bid,58.43
Bid Size,300.0
Day Change $,-1.4
Day Change %,-0.023399999999999997
Day High,60.21
Day Low,58.23
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.77
Ex-dividend Date,No dividend
Historical Volatility,0.675
Last (size),100.0
Last (time),3:23p ET 11/28/22
Market Cap,2.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",78.12
Prev Close,59.86
Price,58.46
Shares Outstanding,48.2M
Short Interest,0.049400000000000006
Today's Open,59.63
Volume Past Day,(Light)
