,STAA
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.38775510204081653
Growth 1yr High Est,0.43137254901960786
Growth 1yr Consensus Est,0.4095638255302122
Growth 2yr Low Est,0.3115246098439376
Growth 2yr High Est,0.5513027128659683
Growth 2yr Consensus Est,0.43141366135495296
Growth 5yr Low Est,0.3115246098439376
Growth 5yr High Est,0.5513027128659683
Growth 5yr Consensus Est,0.43141366135495296
Growth 5yr Actual/Est,0.8769483568075118
Growth 3yr Historic,0.6416666666666667
