,ETR
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.12701252236135963
Growth 1yr High Est,0.061056105610561184
Growth 1yr Consensus Est,0.0940343139859604
Growth 2yr Low Est,0.09445864213306077
Growth 2yr High Est,0.06785309168552944
Growth 2yr Consensus Est,0.0811558669092951
Growth 5yr Low Est,0.05887786739800449
Growth 5yr High Est,0.0621837089661012
Growth 5yr Consensus Est,0.06053078818205285
Growth 5yr Actual/Est,0.057779103277618205
Growth 3yr Historic,0.027938097107708393
