,ETR
% Below High,0.10300000000000001
% Held by Institutions,0.9048
52-Wk Range,['94.94 - 126.82']
Annual Dividend $,4.28
Annual Dividend %,0.037599999999999995
Ask,130.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,91.93
Bid Size,100.0
Closing Price,113.75
Day Change $,0.79
Day Change %,0.006999999999999999
Day High,114.27
Day Low,112.96
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",6.15
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.251
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,24.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",18.49
Prev Close,112.96
Shares Outstanding,211.0M
Short Interest,0.0129
Today's Open,113.66
Volume,723561.0
Volume 10-day Avg,1105605.0
Volume Past Day,(Light)
