,XNCR
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.7903930131004364
Growth 2yr High Est,0.15267175572519087
Growth 2yr Consensus Est,0.47153238441281364
Growth 5yr Low Est,0.7903930131004364
Growth 5yr High Est,0.15267175572519087
Growth 5yr Consensus Est,0.47153238441281364
Growth 5yr Actual/Est,-1.8054662848667637
Growth 3yr Historic,-1.4406665468918434
