,XNCR
Price/Earnings (TTM),61.21705
Price/Sales (TTM),5.75867
Price/Book (MRQ),2.3605
Price/Cash Flow (TTM),44.2286
5yr Low,19.35
5yr High,58.35
5yr Avg Return,0.08918333333333331
EPS Growth 5yr,0.0511158
Revenue Growth 5yr,0.2033733
Dividend Growth 5yr,
Short Int Current Month,4102712.0
Short Int Prev Month,4033136.0
Short Int Pct of Float,0.0690074
Days to Cover,10.35442
Float,59.45325
Shares Outstanding,59.92402
Institutions Holding Shares,273.0
% Held by Institutions,1.033714
FCF Growth 5yr,2.974967793430008
