,XNCR
% Above Low,0.4554
% Held by Institutions,1.0337
52-Wk Range,['19.36 - 42.30']
Annual Dividend $,
Annual Dividend %,
Ask,28.16
Ask Size,1000.0
B/A Ratio,0.8
B/A Size,800x1000
Beta,0.6
Bid,28.14
Bid Size,800.0
Closing Price,28.17
Day Change $,-0.37
Day Change %,-0.013000000000000001
Day High,28.75
Day Low,27.96
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.47
Ex-dividend Date,No dividend
Historical Volatility,0.484
Last (size),3.0
Last (time),4:00p ET 11/28/22
Market Cap,1.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",61.22
Prev Close,28.54
Shares Outstanding,59.9M
Short Interest,0.069
Today's Open,28.57
Volume,329870.0
Volume 10-day Avg,285444.0
Volume Past Day,(Above Average)
