,KE
Price/Earnings (TTM),10.47755
Price/Sales (TTM),0.38703
Price/Book (MRQ),1.24079
Price/Cash Flow (TTM),6.81966
5yr Low,9.78
5yr High,30.61
5yr Avg Return,0.03128333333333334
EPS Growth 5yr,0.050851600000000004
Revenue Growth 5yr,0.07709730000000001
Dividend Growth 5yr,
Short Int Current Month,263729.0
Short Int Prev Month,300619.0
Short Int Pct of Float,0.011255999999999999
Days to Cover,5.14814
Float,23.49483
Shares Outstanding,24.71033
Institutions Holding Shares,182.0
% Held by Institutions,0.670659
FCF Growth 5yr,0.09142389241531386
