,KE
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.0
Growth 2yr High Est,0.22077922077922074
Growth 2yr Consensus Est,0.11038961038961037
Growth 5yr Low Est,0.0
Growth 5yr High Est,0.22077922077922074
Growth 5yr Consensus Est,0.11038961038961037
Growth 5yr Actual/Est,0.387391749770876
Growth 3yr Historic,0.1413473298002445
