,KE
% Below High,0.04019999999999999
% Held by Institutions,0.6707
52-Wk Range,['16.66 - 23.87']
Annual Dividend $,
Annual Dividend %,
Ask,30.17
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.4
Bid,9.15
Bid Size,200.0
Closing Price,22.91
Day Change $,0.04
Day Change %,0.0017000000000000001
Day High,23.07
Day Low,22.37
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.19
Ex-dividend Date,No dividend
Historical Volatility,0.355
Last (size),11.0
Last (time),1:00p ET 11/25/22
Market Cap,566.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.48
Prev Close,22.87
Shares Outstanding,24.7M
Short Interest,0.0113
Today's Open,23.07
Volume,17091.0
Volume 10-day Avg,56119.0
Volume Past Day,(Light)
