,PLXS
% Below High,0.0181
% Held by Institutions,0.9968
52-Wk Range,['72.88 - 109.10']
Annual Dividend $,
Annual Dividend %,
Ask,107.4
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,107.11
Bid Size,100.0
Day Change $,-1.27
Day Change %,-0.011699999999999999
Day High,107.85
Day Low,106.83
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.87
Ex-dividend Date,No dividend
Historical Volatility,0.309
Last (size),4.0
Last (time),10:58a ET 11/28/22
Market Cap,3.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.26
Prev Close,108.39
Price,107.13
Shares Outstanding,27.6M
Short Interest,0.0358
Today's Open,107.72
Volume Past Day,(Light)
