,PLXS
Price/Earnings (TTM),22.26449
Price/Sales (TTM),0.78568
Price/Book (MRQ),2.73801
Price/Cash Flow (TTM),14.90316
5yr Low,35.16
5yr High,109.1
5yr Avg Return,0.10976666666666667
EPS Growth 5yr,0.0843048
Revenue Growth 5yr,0.08557290000000001
Dividend Growth 5yr,
Short Int Current Month,968045.0
Short Int Prev Month,913928.0
Short Int Pct of Float,0.0358115
Days to Cover,5.59489
Float,27.0248
Shares Outstanding,27.62729
Institutions Holding Shares,303.0
% Held by Institutions,0.996768
FCF Growth 5yr,0.10901873177279457
