,WASH
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.0852713178294573
Growth 1yr High Est,0.08040201005025116
Growth 1yr Consensus Est,0.08283666393985423
Growth 2yr Low Est,0.020016611295680997
Growth 2yr High Est,0.08438705153675352
Growth 2yr Consensus Est,0.05220183141621726
Growth 5yr Low Est,0.0006799474388853033
Growth 5yr High Est,0.037872538114055776
Growth 5yr Consensus Est,0.01927624277647054
Growth 5yr Actual/Est,0.030118347912465565
Growth 3yr Historic,0.04072822822822825
