,WASH
Price/Earnings (TTM),11.52382
Price/Sales (TTM),3.85333
Price/Book (MRQ),1.97343
Price/Cash Flow (TTM),10.72619
5yr Low,25.86
5yr High,63.25
5yr Avg Return,-0.013999999999999997
EPS Growth 5yr,0.1025257
Revenue Growth 5yr,0.0343129
Dividend Growth 5yr,0.0798829
Short Int Current Month,538184.0
Short Int Prev Month,565390.0
Short Int Pct of Float,0.0317725
Days to Cover,11.29998
Float,16.98909
Shares Outstanding,17.1809
Institutions Holding Shares,206.0
% Held by Institutions,0.7206440000000001
FCF Growth 5yr,0.021181525241675676
