,WASH
% Above Low,0.0658
% Held by Institutions,0.7206
52-Wk Range,['45.60 - 60.96']
Annual Dividend $,2.16
Annual Dividend %,0.0435
Ask,48.66
Ask Size,100.0
B/A Ratio,7.0
B/A Size,700x100
Beta,0.8
Bid,48.6
Bid Size,700.0
Closing Price,48.6
Day Change $,-1.08
Day Change %,-0.0217
Day High,49.47
Day Low,48.43
Dividend Pay Date,2022-10-07 00:00:00
"EPS (TTM, GAAP)",4.31
Ex-dividend,2022-09-30 00:00:00
Ex-dividend Date,09/30/22
Historical Volatility,0.227
Last (size),726.0
Last (time),4:00p ET 11/28/22
Market Cap,835.0M
"P/E Ratio (TTM, GAAP)",11.52
Prev Close,49.68
Shares Outstanding,17.2M
Short Interest,0.0318
Today's Open,49.47
Volume,31007.0
Volume 10-day Avg,51771.0
Volume Past Day,(Light)
