,DZSI
% Above Low,0.152
% Held by Institutions,0.3599
52-Wk Range,['10.59 - 19.95']
Annual Dividend $,
Annual Dividend %,
Ask,15.25
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,1.4
Bid,11.0
Bid Size,1000.0
Closing Price,12.2
Day Change $,0.06
Day Change %,0.0049
Day High,12.3
Day Low,12.09
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.91
Ex-dividend Date,No dividend
Historical Volatility,0.642
Last (size),8.0
Last (time),12:59p ET 11/25/22
Market Cap,342.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,12.14
Shares Outstanding,28.0M
Short Interest,0.046900000000000004
Today's Open,12.14
Volume,55484.0
Volume 10-day Avg,287650.0
Volume Past Day,(Light)
