,DZSI
Price/Earnings (TTM),
Price/Sales (TTM),0.91287
Price/Book (MRQ),3.08924
Price/Cash Flow (TTM),
5yr Low,2.9
5yr High,23.48
5yr Avg Return,0.1315166666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.1843242
Dividend Growth 5yr,
Short Int Current Month,796571.0
Short Int Prev Month,780826.0
Short Int Pct of Float,0.0469078
Days to Cover,7.65146
Float,18.67768
Shares Outstanding,27.95305
Institutions Holding Shares,98.0
% Held by Institutions,0.359905
FCF Growth 5yr,0.5119172753785435
