,IPI
% Above Low,0.1162
% Held by Institutions,0.5477000000000001
52-Wk Range,['32.91 - 121.72']
Annual Dividend $,
Annual Dividend %,
Ask,37.72
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,2.0
Bid,35.4
Bid Size,100.0
Closing Price,36.73
Day Change $,0.78
Day Change %,0.0217
Day High,37.19
Day Low,36.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",21.59
Ex-dividend Date,No dividend
Historical Volatility,0.846
Last (size),9.0
Last (time),5:00p ET 11/25/22
Market Cap,494.6M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",1.7
Prev Close,35.95
Shares Outstanding,13.5M
Short Interest,0.08039999999999999
Today's Open,36.03
Volume,100084.0
Volume 10-day Avg,214951.0
Volume Past Day,(Light)
