,IPI
Next Earnings Announcement,2023-03-06 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.44178628389154706
Growth 2yr High Est,-0.11010558069381593
Growth 2yr Consensus Est,-0.2759459322926815
Growth 5yr Low Est,-0.44178628389154706
Growth 5yr High Est,-0.11010558069381593
Growth 5yr Consensus Est,-0.2759459322926815
Growth 5yr Actual/Est,-0.49443967173806425
Growth 3yr Historic,-1.1615119760479042
