,STEM
% Above Low,1.2605
% Held by Institutions,0.5657
52-Wk Range,['5.72 - 22.25']
Annual Dividend $,
Annual Dividend %,
Ask,12.93
Ask Size,1700.0
B/A Ratio,0.4117647058823529
B/A Size,700x1700
Beta,
Bid,12.92
Bid Size,700.0
Day Change $,-0.76
Day Change %,-0.0555
Day High,13.99
Day Low,12.91
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.81
Ex-dividend Date,No dividend
Historical Volatility,0.9490000000000001
Last (size),100.0
Last (time),3:27p ET 11/28/22
Market Cap,2.0B
"P/E Ratio (TTM, GAAP)",
Prev Close,13.69
Price,12.93
Shares Outstanding,154.5M
Short Interest,0.105
Today's Open,13.6
Volume Past Day,(Heavy Day)
