,STEM
Price/Earnings (TTM),
Price/Sales (TTM),8.12455
Price/Book (MRQ),3.66656
Price/Cash Flow (TTM),
5yr Low,5.72
5yr High,51.49
5yr Avg Return,0.20366666666666663
Short Int Current Month,14328593.0
Short Int Prev Month,13565688.0
Short Int Pct of Float,0.10504720000000001
Days to Cover,4.27617
Float,140.9878
Shares Outstanding,154.4888
Institutions Holding Shares,294.0
% Held by Institutions,0.565727
FCF Growth 5yr,0.2253022817538947
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
