,DLTR
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,0.287020109689214
Growth 1yr High Est,0.11791044776119408
Growth 1yr Consensus Est,0.20246527872520403
Growth 2yr Low Est,0.1499021002991524
Growth 2yr High Est,0.14840782735189206
Growth 2yr Consensus Est,0.14915496382552224
Growth 5yr Low Est,0.11700272462581512
Growth 5yr High Est,0.16756772979062723
Growth 5yr Consensus Est,0.14228522720822118
Growth 5yr Actual/Est,0.14150347098456922
Growth 3yr Historic,0.05338086562058453
