,DLTR
Price/Earnings (TTM),21.17543
Price/Sales (TTM),1.20874
Price/Book (MRQ),4.04507
Price/Cash Flow (TTM),14.07859
5yr Low,60.2
5yr High,177.19
5yr Avg Return,0.08298333333333334
EPS Growth 5yr,0.08908379999999999
Revenue Growth 5yr,0.0490267
Dividend Growth 5yr,
Short Int Current Month,6388083.0
Short Int Prev Month,6911391.0
Short Int Pct of Float,0.0292788
Days to Cover,3.29947
Float,218.2798
Shares Outstanding,221.1845
Institutions Holding Shares,1105.0
% Held by Institutions,0.9475830000000001
FCF Growth 5yr,4.549842904495725
