,DLTR
% Below High,0.1459
% Held by Institutions,0.9476
52-Wk Range,['123.62 - 177.19']
Annual Dividend $,
Annual Dividend %,
Ask,151.79
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,151.02
Bid Size,100.0
Closing Price,151.33
Day Change $,1.19
Day Change %,0.0079
Day High,151.78
Day Low,148.53
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",7.15
Ex-dividend Date,No dividend
Historical Volatility,0.413
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,33.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.18
Prev Close,150.14
Shares Outstanding,221.2M
Short Interest,0.029300000000000003
Today's Open,150.75
Volume,1553183.0
Volume 10-day Avg,2870549.0
Volume Past Day,(Light)
