,LBRDK
% Above Low,0.2601
% Held by Institutions,
52-Wk Range,['71.70 - 164.82']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,
Bid Size,
Closing Price,90.35
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.355
Last (size),3900.0
Last (time),1:00p ET 11/25/22
Market Cap,13.4B
"P/E Ratio (TTM, GAAP)",--x
Prev Close,90.35
Shares Outstanding,148.3M
Short Interest,
Today's Open,
Volume,586615.0
Volume 10-day Avg,1383134.0
Volume Past Day,(Light)
