,LBRDK
5yr Low,68.33
5yr High,194.05
5yr Avg Return,0.07278333333333335
EPS Growth 5yr,
Revenue Growth 5yr,1.003765
Dividend Growth 5yr,
FCF Growth 5yr,-0.4257436167412476
