,PTC
% Below High,0.0704
% Held by Institutions,0.8992
52-Wk Range,['96.55 - 133.14']
Annual Dividend $,
Annual Dividend %,
Ask,123.81
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,123.7
Bid Size,200.0
Day Change $,-0.865
Day Change %,-0.0069
Day High,124.77
Day Low,123.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.65
Ex-dividend Date,No dividend
Historical Volatility,0.39299999999999996
Last (size),100.0
Last (time),11:44a ET 11/28/22
Market Cap,14.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",47.07
Prev Close,124.63
Price,123.77
Shares Outstanding,117.5M
Short Interest,0.0199
Today's Open,124.09
Volume Past Day,(Light)
