,PTC
Price/Earnings (TTM),47.06998
Price/Sales (TTM),7.57264
Price/Book (MRQ),6.37645
Price/Cash Flow (TTM),36.53055
5yr Low,43.9
5yr High,153.73
5yr Avg Return,0.1395666666666667
EPS Growth 5yr,1.185076
Revenue Growth 5yr,0.1067982
Dividend Growth 5yr,
Short Int Current Month,2098499.0
Short Int Prev Month,2098189.0
Short Int Pct of Float,0.0199367
Days to Cover,1.68598
Float,105.2508
Shares Outstanding,117.472
Institutions Holding Shares,729.0
% Held by Institutions,0.8992279999999999
FCF Growth 5yr,0.5007442108613961
